objectives,normalizedObjectives,gridIndex
"[34461767.0, 1925787.56, 215.0, 111123.0, 374.0, 159.0]","[0.4162091446482455, 0.03309377114648284, 1.0, 0.9347966429954809, 0.875, 0.8571428571428571]","[20, 1, 50, 46, 43, 42]"
"[34499850.0, 2961669.78, 214.0, 111222.0, 365.0, 150.0]","[0.41762312809539776, 0.24038032410512203, 0.8333333333333334, 0.9667527437056165, 0.5, 0.42857142857142855]","[20, 12, 41, 48, 25, 21]"
"[34654893.0, 1936042.01, 215.0, 110915.0, 373.0, 159.0]","[0.4233797185845091, 0.03514575114184053, 1.0, 0.8676565526145901, 0.8333333333333334, 0.8571428571428571]","[21, 1, 50, 43, 41, 42]"
"[34874040.0, 2757764.5, 212.0, 109866.0, 367.0, 155.0]","[0.4315164260522264, 0.19957759402132338, 0.5, 0.5290510006455778, 0.5833333333333334, 0.6666666666666666]","[21, 9, 25, 26, 29, 33]"
"[34917953.0, 3002639.39, 214.0, 111047.0, 364.0, 150.0]","[0.4331468715295994, 0.24857860096420342, 0.8333333333333334, 0.9102646868947708, 0.4583333333333333, 0.42857142857142855]","[21, 12, 41, 45, 22, 21]"
"[34931598.0, 3102509.91, 213.0, 110474.0, 366.0, 152.0]","[0.43365349664149694, 0.26856332068744265, 0.6666666666666666, 0.7253066494512589, 0.5416666666666666, 0.5238095238095238]","[21, 13, 33, 36, 27, 26]"
"[34940910.0, 2580345.14, 213.0, 110636.0, 368.0, 155.0]","[0.43399924182595934, 0.16407486325476206, 0.6666666666666666, 0.7775984506132989, 0.625, 0.6666666666666666]","[21, 8, 33, 38, 31, 33]"
"[34994338.0, 2490052.16, 213.0, 110527.0, 368.0, 155.0]","[0.43598296967340966, 0.14600666957482483, 0.6666666666666666, 0.7424144609425436, 0.625, 0.6666666666666666]","[21, 7, 33, 37, 31, 33]"
"[35017378.0, 2649521.52, 215.0, 111130.0, 367.0, 152.0]","[0.43683842167620324, 0.17791749234859566, 1.0, 0.9370561652679148, 0.5833333333333334, 0.5238095238095238]","[21, 8, 50, 46, 29, 26]"
"[35177930.0, 2430572.89, 213.0, 110800.0, 369.0, 155.0]","[0.44279955578872565, 0.13410449323396997, 0.6666666666666666, 0.8305358295674629, 0.6666666666666666, 0.6666666666666666]","[22, 6, 33, 41, 33, 33]"
"[35351200.0, 2447009.97, 213.0, 110769.0, 369.0, 155.0]","[0.44923289643647063, 0.13739365641113638, 0.6666666666666666, 0.8205293737895416, 0.6666666666666666, 0.6666666666666666]","[22, 6, 33, 41, 33, 33]"
"[35642834.0, 2933237.73, 212.0, 110330.0, 363.0, 151.0]","[0.4600609732325949, 0.23469089192426304, 0.5, 0.6788250484183345, 0.4166666666666667, 0.47619047619047616]","[23, 11, 25, 33, 20, 23]"
"[35953283.0, 2745420.14, 212.0, 109585.0, 369.0, 157.0]","[0.4715876320353409, 0.19710740987926864, 0.5, 0.43834732085216266, 0.6666666666666666, 0.7619047619047619]","[23, 9, 25, 21, 33, 38]"
"[36010060.0, 2608519.8, 213.0, 110504.0, 368.0, 155.0]","[0.4736957048809403, 0.16971279007638623, 0.6666666666666666, 0.7349903163331182, 0.625, 0.6666666666666666]","[23, 8, 33, 36, 31, 33]"
"[36382449.0, 2665886.48, 213.0, 110627.0, 368.0, 154.0]","[0.4875221335210575, 0.18119222385977654, 0.6666666666666666, 0.7746933505487411, 0.625, 0.6190476190476191]","[24, 9, 33, 38, 31, 30]"
"[36459560.0, 2154988.8, 214.0, 110903.0, 365.0, 151.0]","[0.4903851873139141, 0.07895838206088364, 0.8333333333333334, 0.8637830858618464, 0.5, 0.47619047619047616]","[24, 3, 41, 43, 25, 23]"
"[36470164.0, 2676327.83, 213.0, 110495.0, 367.0, 154.0]","[0.49077890315756095, 0.18328160372164415, 0.6666666666666666, 0.7320852162685604, 0.5833333333333334, 0.6190476190476191]","[24, 9, 33, 36, 29, 30]"
"[36521099.0, 2596238.27, 214.0, 110992.0, 365.0, 151.0]","[0.49267006842502153, 0.16725517861283773, 0.8333333333333334, 0.8925112976113622, 0.5, 0.47619047619047616]","[24, 8, 41, 44, 25, 23]"
"[36848994.0, 2915211.59, 215.0, 110851.0, 368.0, 154.0]","[0.5048444796427299, 0.23108374783818164, 1.0, 0.8469980632666236, 0.625, 0.6190476190476191]","[25, 11, 50, 42, 31, 30]"
"[36906165.0, 2766575.21, 213.0, 110397.0, 368.0, 155.0]","[0.5069671813116411, 0.2013406725545356, 0.6666666666666666, 0.7004519044544868, 0.625, 0.6666666666666666]","[25, 10, 33, 35, 31, 33]"
"[37171976.0, 2794604.16, 213.0, 110479.0, 367.0, 154.0]","[0.5168364761169608, 0.20694944188793538, 0.6666666666666666, 0.7269205939315687, 0.5833333333333334, 0.6190476190476191]","[25, 10, 33, 36, 29, 30]"
"[37221429.0, 2634088.52, 212.0, 109587.0, 371.0, 159.0]","[0.5186726162165333, 0.17482925189997528, 0.5, 0.43899289864428664, 0.75, 0.8571428571428571]","[25, 8, 25, 21, 37, 42]"
"[37254885.0, 3697094.3, 213.0, 111077.0, 361.0, 148.0]","[0.5199148038122565, 0.38754339995370823, 0.6666666666666666, 0.9199483537766301, 0.3333333333333333, 0.3333333333333333]","[25, 19, 33, 45, 16, 16]"
"[37353267.0, 2444500.83, 214.0, 110724.0, 369.0, 155.0]","[0.523567628418977, 0.13689156170244388, 0.8333333333333334, 0.8060038734667527, 0.6666666666666666, 0.6666666666666666]","[26, 6, 41, 40, 33, 33]"
